,Compnay Name,CIK,Notes Link,10-K Report Page URL,End Date of Fiscal Year
93,DaVita Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000156459017002409/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-17-002409-index.htm,2016-12-31
94,DaVita Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000156459016013587/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-16-013587-index.htm,2015-12-31
95,DaVita Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000156459015001035/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-15-001035-index.htm,2014-12-31
96,DaVita Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000119312514062565/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-14-062565-index.htm,2013-12-31
97,DaVita Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000119312513085450/R26.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-13-085450-index.htm,2012-12-31
98,DaVita Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000119312512077942/R25.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-12-077942-index.htm,2011-12-31
99,DaVita Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_Inc_2011-02-25_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-11-046882-index.htm,2010-12-31
100,DaVita Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_Inc_2010-02-25_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-10-040773-index.htm,2009-12-31
101,DaVita Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_Inc_2009-02-27_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-09-040883-index.htm,2008-12-31
102,DaVita Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_Inc_2008-02-29_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-08-042304-index.htm,2007-12-31
103,DaVita Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_Inc_2007-02-28_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-07-041368-index.htm,2006-12-31
104,Dun & Bradstreet Corp,0001115222,https://www.sec.gov/Archives/edgar/data/0001115222/000111522217000007/R26.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-17-000007-index.htm,2016-12-31
105,Dun & Bradstreet Corp,0001115222,https://www.sec.gov/Archives/edgar/data/0001115222/000111522216000045/R26.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-16-000045-index.htm,2015-12-31
106,Dun & Bradstreet Corp,0001115222,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-15-000006-index.htm,2014-12-31
107,Dun & Bradstreet Corp,0001115222,No Acquisition,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-14-000012-index.htm,2013-12-31
108,Dun & Bradstreet Corp,0001115222,https://www.sec.gov/Archives/edgar/data/0001115222/000111522213000004/R12.htm,https://www.sec.gov/Archives/edgar/data/0001115222/0001115222-13-000004-index.htm,2012-12-31
