,Ticker,CIK,10-K Report Date,Notes Link,10-K Report URL
144,FISV,0000798354,000079835420000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835420000006/R71.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-20-000006.txt
145,FISV,0000798354,000079835420000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835420000006/R72.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-20-000006.txt
146,FISV,0000798354,000079835420000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835420000006/R73.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-20-000006.txt
147,FISV,0000798354,000079835419000005,https://www.sec.gov/Archives/edgar/data/0000798354/000079835419000005/R11.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-19-000005.txt
148,FISV,0000798354,000079835419000005,https://www.sec.gov/Archives/edgar/data/0000798354/000079835419000005/R24.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-19-000005.txt
149,FISV,0000798354,000079835419000005,https://www.sec.gov/Archives/edgar/data/0000798354/000079835419000005/R53.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-19-000005.txt
150,FISV,0000798354,000079835419000005,https://www.sec.gov/Archives/edgar/data/0000798354/000079835419000005/R54.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-19-000005.txt
151,FISV,0000798354,000079835418000005,https://www.sec.gov/Archives/edgar/data/0000798354/000079835418000005/R10.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-18-000005.txt
152,FISV,0000798354,000079835418000005,https://www.sec.gov/Archives/edgar/data/0000798354/000079835418000005/R22.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-18-000005.txt
153,FISV,0000798354,000079835418000005,https://www.sec.gov/Archives/edgar/data/0000798354/000079835418000005/R43.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-18-000005.txt
154,FISV,0000798354,000079835417000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835417000006/R10.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-17-000006.txt
155,FISV,0000798354,000079835417000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835417000006/R39.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-17-000006.txt
156,FISV,0000798354,000162828016011435,https://www.sec.gov/Archives/edgar/data/0000798354/000162828016011435/R10.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0001628280-16-011435.txt
